origin,destination,num_nodes,num_edges,avg_degree,density,best_runtime,best_cost
0970,2000,37,104,5.621621621621622,0.15615615615615616,DFS,BFS
0970,2200,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,2820,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,2825,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,2827,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,2846,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,3001,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,3002,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,3120,37,104,5.621621621621622,0.15615615615615616,DFS,BFS
0970,3122,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,3126,37,104,5.621621621621622,0.15615615615615616,DFS,BFS
0970,3127,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,3180,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,3662,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,3682,37,104,5.621621621621622,0.15615615615615616,IDDFS,BFS
0970,3685,37,104,5.621621621621622,0.15615615615615616,IDDFS,BFS
0970,3804,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,3812,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4030,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4032,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4034,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4035,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4040,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4043,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4051,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4057,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4063,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4262,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4263,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4264,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4266,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4270,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4272,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4273,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4321,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4324,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4335,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
0970,4812,37,104,5.621621621621622,0.15615615615615616,BS,BFS
0970,4821,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,0970,37,104,5.621621621621622,0.15615615615615616,DFS,BFS
2000,2200,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,2820,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,2825,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,2827,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,2846,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,3001,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,3002,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,3120,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,3122,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,3126,37,104,5.621621621621622,0.15615615615615616,BFS,BFS
2000,3127,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,3180,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,3662,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,3682,37,104,5.621621621621622,0.15615615615615616,IDDFS,BFS
2000,3685,37,104,5.621621621621622,0.15615615615615616,IDDFS,BFS
2000,3804,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,3812,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
2000,4030,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4032,37,104,5.621621621621622,0.15615615615615616,BS,BFS
2000,4034,37,104,5.621621621621622,0.15615615615615616,GBFS,BFS
